time,latitude,longitude,depth,mag
2024-04-22T11:10:48.733Z,-8.9573,111.2888,54.28,5.1
2024-04-22T10:50:30.590Z,23.7053,121.6282,10.0,5.6
2024-04-22T10:49:06.722Z,23.7229,121.6381,10.0,5.0
2024-04-22T10:46:21.461Z,23.6225,121.6563,10.0,5.3
2024-04-22T09:16:01.385Z,23.8125,121.4665,27.828,5.2
2024-04-22T09:12:10.590Z,23.808,121.5579,10.0,5.1
2024-04-22T09:08:39.851Z,23.6939,121.5925,16.265,5.2
2024-04-21T02:40:55.589Z,23.4701,121.631,28.583,5.1
2024-04-20T03:42:24.412Z,17.0523,145.3641,489.707,5.0
2024-04-18T17:40:02.062Z,33.5041,81.7676,10.0,5.1
2024-04-18T09:29:11.969Z,22.7438,143.3267,62.0,5.4
2024-04-17T14:14:46.694Z,33.2503,132.3647,32.0,6.3
2024-04-16T23:01:24.137Z,11.3815,92.9599,57.532,5.0
2024-04-16T16:06:15.536Z,9.6873,126.2537,51.666,5.0
2024-04-16T14:58:55.527Z,12.9353,145.4323,9.219,5.4
2024-04-15T22:38:56.828Z,29.4397,131.7622,7.556,5.9
2024-04-15T10:43:28.500Z,-5.2266,151.892,71.991,5.4
2024-04-14T20:56:28.201Z,-5.8565,151.0953,49.0,6.5
2024-04-13T16:40:55.412Z,2.1044,126.6086,39.341,5.0
2024-04-13T06:26:35.031Z,2.226,126.6873,38.856,5.2
2024-04-13T05:44:39.593Z,33.5479,81.8672,10.0,5.5
2024-04-12T15:59:15.269Z,-10.2257,161.0159,20.0,5.8
2024-04-12T09:00:17.560Z,28.279,129.2805,53.889,5.0
2024-04-11T17:34:06.488Z,3.6958,126.7665,45.378,5.0
2024-04-11T03:33:57.207Z,7.6449,126.1637,10.0,5.2
2024-04-10T16:20:17.869Z,11.8705,125.841,9.55,5.2
2024-04-10T14:56:17.074Z,41.9596,82.6648,8.0,5.4
2024-04-10T10:57:39.261Z,41.8952,82.4218,10.0,5.0
2024-04-09T14:07:05.932Z,28.049,100.2389,30.53,5.0
2024-04-09T09:47:59.810Z,2.6982,127.0624,22.0,6.4
2024-04-09T00:04:05.827Z,-1.585,134.4849,10.0,5.5
2024-04-09T00:02:52.078Z,-1.6951,134.4237,6.66,5.9
2024-04-08T01:25:29.592Z,31.6565,131.3933,50.529,5.1
2024-04-07T20:47:58.649Z,41.8492,82.1566,10.0,5.0
2024-04-07T17:46:18.442Z,-6.5495,103.9286,38.777,5.0
2024-04-07T14:57:16.495Z,-8.9592,118.6205,10.0,5.0
2024-04-07T08:46:17.940Z,41.8956,82.2688,10.0,5.1
2024-04-07T07:25:06.984Z,-6.3877,149.2718,47.071,5.1
2024-04-06T12:25:42.820Z,-4.0281,142.903,63.264,5.0
2024-04-06T10:47:12.076Z,23.86,121.6946,29.453,5.2
2024-04-06T08:24:30.650Z,-3.277,138.2881,65.268,5.0
2024-04-06T02:29:22.577Z,27.1432,103.4715,10.0,5.0
2024-04-06T01:37:49.290Z,23.6327,122.0266,10.0,5.0
2024-04-06T00:12:17.749Z,40.8775,143.2258,26.386,5.4
2024-04-05T12:45:38.655Z,26.4924,96.9139,69.136,5.7
2024-04-05T11:03:16.357Z,19.1103,145.3659,222.0,6.8
2024-04-05T04:50:51.121Z,24.0787,121.684,20.304,5.0
2024-04-04T20:31:49.325Z,41.9769,142.4449,63.264,5.0
2024-04-04T16:04:32.601Z,33.1698,76.816,32.436,5.0
2024-04-04T03:16:30.313Z,37.7104,141.856,29.0,6.1
2024-04-04T00:39:38.283Z,38.4599,90.8993,10.0,5.1
2024-04-03T09:02:16.573Z,-5.8654,112.3387,10.0,5.1
2024-04-03T04:51:22.460Z,8.5051,126.6773,67.064,5.1
2024-04-03T02:28:16.568Z,24.1664,121.818,13.194,5.1
2024-04-03T02:23:27.076Z,24.2305,121.6344,35.749,5.0
2024-04-03T02:14:36.488Z,24.1954,121.9338,41.798,5.7
2024-04-03T01:53:57.455Z,23.8817,121.5533,22.545,5.1
2024-04-03T01:49:38.775Z,23.8897,121.8988,10.0,5.1
2024-04-03T01:39:47.928Z,23.7873,121.7835,26.363,5.7
2024-04-03T01:39:35.045Z,23.7905,121.7975,16.869,5.3
2024-04-03T01:19:31.837Z,23.873,121.6499,6.723,5.1
2024-04-03T01:17:41.291Z,23.9694,121.6633,26.865,5.0
2024-04-03T01:09:37.061Z,24.174,121.766,10.0,5.2
2024-04-03T01:01:12.630Z,24.077,121.5601,20.884,5.0
2024-04-03T00:50:46.898Z,23.7725,121.5952,27.179,5.2
2024-04-03T00:46:44.732Z,24.1702,121.7273,14.297,5.6
2024-04-03T00:43:55.100Z,23.9995,121.5898,10.789,5.3
2024-04-03T00:35:36.982Z,24.1511,121.6993,15.864,5.6
2024-04-03T00:31:12.301Z,23.9926,121.7893,23.2,5.0
2024-04-03T00:17:37.240Z,24.0049,121.7509,38.611,5.2
2024-04-03T00:17:16.083Z,24.0059,121.8453,35.0,5.1
2024-04-03T00:11:25.266Z,24.1021,121.6812,13.931,6.4
2024-04-03T00:09:31.012Z,24.1741,121.7374,32.25,5.0
2024-04-03T00:05:01.965Z,15.8214,146.8668,10.0,5.3
2024-04-02T23:58:12.173Z,23.8356,121.5976,40.0,7.4
2024-04-02T22:16:44.681Z,15.8934,146.8532,10.0,5.2
2024-04-02T09:54:08.569Z,15.8146,146.8779,10.0,6.2
2024-04-01T19:24:36.670Z,40.1435,141.6984,73.0,5.9
2024-04-01T01:39:05.248Z,-6.256,155.0964,163.637,5.1
2024-03-31T00:25:15.149Z,39.0066,70.8647,10.0,5.0
2024-03-30T22:55:52.655Z,-6.3333,154.7807,77.27,5.1
2024-03-29T09:57:05.507Z,-4.562,149.5876,570.902,5.6
2024-03-29T04:58:59.642Z,17.0572,147.2408,41.584,5.0
2024-03-29T02:02:42.608Z,17.013,147.3137,25.174,5.0
2024-03-28T10:55:10.409Z,36.247,71.1603,108.477,5.0
2024-03-28T08:01:54.946Z,-9.1955,110.1543,59.247,5.0
2024-03-26T17:49:35.453Z,-5.3315,145.8772,69.756,5.1
2024-03-25T02:36:41.521Z,52.4275,163.5655,10.0,5.2
2024-03-25T02:21:44.441Z,12.0769,143.9432,10.0,5.2
2024-03-24T11:53:57.200Z,-1.7427,133.2473,42.523,5.1
2024-03-24T06:22:24.947Z,8.7566,126.3895,59.621,5.2
2024-03-24T03:26:40.249Z,-4.0667,143.116,35.0,5.2
2024-03-24T03:04:07.847Z,-9.4207,122.1832,62.174,5.7
2024-03-24T00:30:54.143Z,-9.7782,154.8212,10.0,5.1
2024-03-23T22:49:58.468Z,-4.0835,143.1375,35.0,5.1
2024-03-23T20:40:29.906Z,-4.1113,143.311,35.0,5.0
2024-03-23T20:22:04.348Z,-4.1292,143.134,41.464,6.9
2024-03-23T13:20:28.536Z,-4.5597,102.7307,62.692,5.3
2024-03-22T08:52:58.999Z,-5.8754,112.3646,9.471,6.4
2024-03-22T05:31:12.251Z,-5.909,112.3829,10.0,5.2
2024-03-22T04:22:45.531Z,-5.8155,112.3187,10.0,5.6
2024-03-22T03:47:04.011Z,39.3279,71.8628,3.161,5.2
2024-03-21T00:19:13.120Z,-2.008,137.4266,12.374,5.1
